Unnamed: 0,chromosome_id,accession,taxid,species_long_name,lineage,lineage_names,lineage_ranks,rank_dict,lineage_names_dict
0,NZ_CP021467.1,GCF_002173515.1,33995,ALL_Komagataeibacter_europaeus_strain_SRCM101446_NZ_CP021467,"[1, 131567, 2, 1224, 28211, 204441, 433, 1434011, 33995]","{1: 'root', 2: 'Bacteria', 433: 'Acetobacteraceae', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 33995: 'Komagataeibacter europaeus', 131567: 'cellular organisms', 204441: 'Rhodospirillales', 1434011: 'Komagataeibacter'}","{1: 'no rank', 2: 'superkingdom', 433: 'family', 1224: 'phylum', 28211: 'class', 33995: 'species', 131567: 'no rank', 204441: 'order', 1434011: 'genus'}","{'no rank': '131567', 'superkingdom': '2', 'family': '433', 'phylum': '1224', 'class': '28211', 'species': '33995', 'order': '204441', 'genus': '1434011'}","{'1': 'root', '2': 'Bacteria', '433': 'Acetobacteraceae', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '33995': 'Komagataeibacter europaeus', '131567': 'cellular organisms', '204441': 'Rhodospirillales', '1434011': 'Komagataeibacter'}"
1,NZ_CP025269.1,GCF_004006375.1,28448,ALL_Komagataeibacter_xylinus_strain_DSM_2325_NZ_CP025269,"[1, 131567, 2, 1224, 28211, 204441, 433, 1434011, 28448]","{1: 'root', 2: 'Bacteria', 433: 'Acetobacteraceae', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 28448: 'Komagataeibacter xylinus', 131567: 'cellular organisms', 204441: 'Rhodospirillales', 1434011: 'Komagataeibacter'}","{1: 'no rank', 2: 'superkingdom', 433: 'family', 1224: 'phylum', 28211: 'class', 28448: 'species', 131567: 'no rank', 204441: 'order', 1434011: 'genus'}","{'no rank': '131567', 'superkingdom': '2', 'family': '433', 'phylum': '1224', 'class': '28211', 'species': '28448', 'order': '204441', 'genus': '1434011'}","{'1': 'root', '2': 'Bacteria', '433': 'Acetobacteraceae', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '28448': 'Komagataeibacter xylinus', '131567': 'cellular organisms', '204441': 'Rhodospirillales', '1434011': 'Komagataeibacter'}"
2,NZ_CP062147.1,GCF_014843995.1,436,ALL_Novacetimonas_hansenii_strain_C110_NZ_CP062147,"[1, 131567, 2, 1224, 28211, 204441, 433, 2919364, 436]","{1: 'root', 2: 'Bacteria', 433: 'Acetobacteraceae', 436: 'Novacetimonas hansenii', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204441: 'Rhodospirillales', 2919364: 'Novacetimonas'}","{1: 'no rank', 2: 'superkingdom', 433: 'family', 436: 'species', 1224: 'phylum', 28211: 'class', 131567: 'no rank', 204441: 'order', 2919364: 'genus'}","{'no rank': '131567', 'superkingdom': '2', 'family': '433', 'species': '436', 'phylum': '1224', 'class': '28211', 'order': '204441', 'genus': '2919364'}","{'1': 'root', '2': 'Bacteria', '433': 'Acetobacteraceae', '436': 'Novacetimonas hansenii', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '131567': 'cellular organisms', '204441': 'Rhodospirillales', '2919364': 'Novacetimonas'}"
3,NZ_OW485601.1,GCF_937425535.1,504468,ALL_Rhodovastum_atsumiense_strain_G2_11_chromosome_RHOA_NZ_OW485601,"[1, 131567, 2, 1224, 28211, 204441, 433, 504465, 504468]","{1: 'root', 2: 'Bacteria', 433: 'Acetobacteraceae', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204441: 'Rhodospirillales', 504465: 'Rhodovastum', 504468: 'Rhodovastum atsumiense'}","{1: 'no rank', 2: 'superkingdom', 433: 'family', 1224: 'phylum', 28211: 'class', 131567: 'no rank', 204441: 'order', 504465: 'genus', 504468: 'species'}","{'no rank': '131567', 'superkingdom': '2', 'family': '433', 'phylum': '1224', 'class': '28211', 'order': '204441', 'genus': '504465', 'species': '504468'}","{'1': 'root', '2': 'Bacteria', '433': 'Acetobacteraceae', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '131567': 'cellular organisms', '204441': 'Rhodospirillales', '504465': 'Rhodovastum', '504468': 'Rhodovastum atsumiense'}"
4,NZ_CP137852.1,GCF_033547095.1,1225128,ALL_Sediminicoccus_rosea_strain_R_30_NZ_CP137852,"[1, 131567, 2, 1224, 28211, 204441, 433, 1706033, 1225128]","{1: 'root', 2: 'Bacteria', 433: 'Acetobacteraceae', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204441: 'Rhodospirillales', 1225128: 'Sediminicoccus rosea', 1706033: 'Sediminicoccus'}","{1: 'no rank', 2: 'superkingdom', 433: 'family', 1224: 'phylum', 28211: 'class', 131567: 'no rank', 204441: 'order', 1225128: 'species', 1706033: 'genus'}","{'no rank': '131567', 'superkingdom': '2', 'family': '433', 'phylum': '1224', 'class': '28211', 'order': '204441', 'species': '1225128', 'genus': '1706033'}","{'1': 'root', '2': 'Bacteria', '433': 'Acetobacteraceae', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '131567': 'cellular organisms', '204441': 'Rhodospirillales', '1225128': 'Sediminicoccus rosea', '1706033': 'Sediminicoccus'}"
5,NZ_CP077803.1,GCF_019134555.1,1085,ALL_Rhodospirillum_rubrum_strain_DSM_467_NZ_CP077803,"[1, 131567, 2, 1224, 28211, 204441, 41295, 1081, 1085]","{1: 'root', 2: 'Bacteria', 1081: 'Rhodospirillum', 1085: 'Rhodospirillum rubrum', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 41295: 'Rhodospirillaceae', 131567: 'cellular organisms', 204441: 'Rhodospirillales'}","{1: 'no rank', 2: 'superkingdom', 1081: 'genus', 1085: 'species', 1224: 'phylum', 28211: 'class', 41295: 'family', 131567: 'no rank', 204441: 'order'}","{'no rank': '131567', 'superkingdom': '2', 'genus': '1081', 'species': '1085', 'phylum': '1224', 'class': '28211', 'family': '41295', 'order': '204441'}","{'1': 'root', '2': 'Bacteria', '1081': 'Rhodospirillum', '1085': 'Rhodospirillum rubrum', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '41295': 'Rhodospirillaceae', '131567': 'cellular organisms', '204441': 'Rhodospirillales'}"
6,NZ_CP033023.1,GCF_003667725.1,1176649,ALL_Agrobacterium_fabrum_strain_1D132_chromosome_circular_NZ_CP033023,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 357, 1183400, 1176649]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 357: 'Agrobacterium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group', 1176649: 'Agrobacterium fabrum', 1183400: 'Agrobacterium tumefaciens complex'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 357: 'genus', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank', 1176649: 'species', 1183400: 'species group'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '357', 'phylum': '1224', 'class': '28211', 'family': '82115', 'species': '1176649', 'species group': '1183400'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '357': 'Agrobacterium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group', '1176649': 'Agrobacterium fabrum', '1183400': 'Agrobacterium tumefaciens complex'}"
7,NZ_CP047388.1,GCF_013365515.1,2579248,ALL_Agrobacterium_sp_CGMCC_11546_chromosome_1_NZ_CP047388,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 357, 2632611, 2579248]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 357: 'Agrobacterium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group', 2579248: 'Agrobacterium sp. CGMCC 11546', 2632611: 'unclassified Agrobacterium'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 357: 'genus', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank', 2579248: 'species', 2632611: 'no rank'}","{'no rank': '2632611', 'superkingdom': '2', 'order': '356', 'genus': '357', 'phylum': '1224', 'class': '28211', 'family': '82115', 'species': '2579248'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '357': 'Agrobacterium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group', '2579248': 'Agrobacterium sp. CGMCC 11546', '2632611': 'unclassified Agrobacterium'}"
8,NZ_CP033032.1,GCF_003667905.1,358,ALL_Agrobacterium_tumefaciens_strain_12D1_chromosome_circular_NZ_CP033032,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 357, 1183400, 358]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 357: 'Agrobacterium', 358: 'Agrobacterium tumefaciens', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group', 1183400: 'Agrobacterium tumefaciens complex'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 357: 'genus', 358: 'species', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank', 1183400: 'species group'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '357', 'species': '358', 'phylum': '1224', 'class': '28211', 'family': '82115', 'species group': '1183400'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '357': 'Agrobacterium', '358': 'Agrobacterium tumefaciens', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group', '1183400': 'Agrobacterium tumefaciens complex'}"
9,NZ_NXEJ01000009.1,GCF_002915175.1,1972867,ALL_Agrobacterium_rosae_strain_NCPPB_1650_NZ_NXEJ01000009,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 357, 1972867]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 357: 'Agrobacterium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group', 1972867: 'Agrobacterium rosae'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 357: 'genus', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank', 1972867: 'species'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '357', 'phylum': '1224', 'class': '28211', 'family': '82115', 'species': '1972867'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '357': 'Agrobacterium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group', '1972867': 'Agrobacterium rosae'}"
